country,freedom,gdp_per_capita,generosity,happiness_rank,happiness_score,healthy_life_expectancy,social_support,trust_government_corruption,year,continent,gdp_support
Indonesia,0.491,0.931,0.498,92,5.192,0.66,1.203,0.028,2019,Asia,1.119993
China,0.521,1.029,0.058,93,5.191,0.893,1.125,0.1,2019,Asia,1.157625
Vietnam,0.543,0.741,0.147,94,5.175,0.851,1.346,0.073,2019,Asia,0.9973860000000001
Bhutan,0.457,0.813,0.37,95,5.082,0.604,1.321,0.167,2019,Asia,1.0739729999999998
Cameroon,0.381,0.549,0.187,96,5.044,0.331,0.91,0.037,2019,Africa,0.49959000000000003
Bulgaria,0.311,1.092,0.081,97,5.011,0.815,1.513,0.004,2019,Europe,1.652196
Ghana,0.381,0.611,0.245,98,4.996,0.486,0.868,0.04,2019,Africa,0.5303479999999999
Ivory Coast,0.352,0.569,0.154,99,4.944,0.232,0.808,0.09,2019,Africa,0.459752
Nepal,0.439,0.446,0.285,100,4.913,0.677,1.226,0.089,2019,Asia,0.546796
Jordan,0.383,0.837,0.11,101,4.906,0.815,1.225,0.13,2019,Asia,1.025325
Benin,0.349,0.393,0.175,102,4.883,0.397,0.437,0.082,2019,Africa,0.171741
Congo (Brazzaville),0.372,0.673,0.105,103,4.812,0.508,0.799,0.093,2019,Africa,0.5377270000000001
Gabon,0.295,1.057,0.043,104,4.799,0.571,1.183,0.055,2019,Africa,1.250431
Laos,0.547,0.764,0.266,105,4.796,0.551,1.03,0.164,2019,Asia,0.7869200000000001
South Africa,0.389,0.96,0.13,106,4.722,0.469,1.351,0.055,2019,Africa,1.29696
Albania,0.383,0.947,0.178,107,4.719,0.874,0.848,0.027,2019,Other,0.803056
Venezuela,0.154,0.96,0.064,108,4.707,0.805,1.427,0.047,2019,America,1.36992
Cambodia,0.609,0.574,0.232,109,4.7,0.637,1.122,0.062,2019,Asia,0.644028
Palestinian Territories,0.225,0.657,0.103,110,4.696,0.672,1.247,0.066,2019,Asia,0.8192790000000001
Senegal,0.292,0.45,0.153,111,4.681,0.571,1.134,0.072,2019,Africa,0.5103
Somalia,0.559,0.0,0.243,112,4.668,0.268,0.698,0.27,2019,Africa,0.0
Namibia,0.401,0.879,0.07,113,4.639,0.477,1.313,0.056,2019,Africa,1.154127
Niger,0.318,0.138,0.188,114,4.628,0.366,0.774,0.102,2019,Africa,0.10681200000000002
Burkina Faso,0.255,0.331,0.177,115,4.587,0.38,1.056,0.113,2019,Africa,0.349536
Armenia,0.283,0.85,0.095,116,4.559,0.815,1.055,0.064,2019,Asia,0.8967499999999999
Iran,0.305,1.1,0.27,117,4.548,0.785,0.842,0.125,2019,Asia,0.9262
Guinea,0.332,0.38,0.207,118,4.534,0.375,0.829,0.086,2019,Africa,0.31501999999999997
Georgia,0.346,0.886,0.043,119,4.519,0.752,0.666,0.164,2019,Asia,0.590076
